datetime,filename,tcc_id,center_lat,center_lon,pixel_count,area_km2,max_radius_km,min_radius_km,mean_radius_km,eccentricity,perimeter_km,major_axis_length_km,minor_axis_length_km,orientation_deg,mean_tb,min_tb,max_tb,median_tb,stddev_tb,mean_cloud_top_height_km,max_cloud_top_height_km,region
01-11-2015 02:00,3DIMG_01NOV2015_0200_L1C_ASIA_MER_V01R00.png,TCC5_20151101_0000,20.69282181,91.35343228,7622,125723.6636,256.3312994,186.6004819,221.4658906,0.685613185,2791.07958,512.6625987,373.2009638,14.89990698,203.1681366,184.3335724,217.7532806,201.8299866,7.706808567,15.52478097,18.34996414,NIO
01-11-2015 02:30,3DIMG_01NOV2015_0230_L1C_ASIA_MER_V01R00.png,TCC5_20151101_0000,20.69282181,91.57977737,8216,135521.598,254.7979371,200.2328705,227.5154038,0.618417596,2892.46138,509.5958742,400.465741,12.02047885,204.7167053,186.864563,217.5845184,203.4401703,6.202020168,15.29249315,17.97031555,NIO
01-11-2015 02:30,3DIMG_01NOV2015_0230_L1C_ASIA_MER_V01R00.png,TCC4_20151101_0000,16.37631391,83.95949289,7212,118960.7796,216.7705861,198.3964065,207.5834963,0.402916485,2159.148689,433.5411723,396.792813,31.64687087,201.0403137,180.0890198,217.5845184,201.0031586,9.495448112,15.84395059,18.98664703,NIO
01-11-2015 02:30,3DIMG_01NOV2015_0230_L1C_ASIA_MER_V01R00.png,TCC3_20151101_0000,13.95855631,56.38311688,15539,256313.3047,356.1399659,256.7037763,306.4218711,0.693148682,4510.369137,712.2799318,513.4075526,19.07003228,203.7543793,180.0890198,217.5845184,204.0284576,7.481812,15.43684429,18.98664703,NIO
01-11-2015 02:30,3DIMG_01NOV2015_0230_L1C_ASIA_MER_V01R00.png,TCC7_20151101_0130,3.730592699,68.68119975,2328,38399.98542,267.1269801,63.00555005,165.0662651,0.971786154,1883.947249,534.2539602,126.0111001,-37.69445208,209.2314453,190.3035583,217.5845184,210.0329437,5.601597786,14.61528377,17.45446625,NIO
01-11-2015 02:30,3DIMG_01NOV2015_0230_L1C_ASIA_MER_V01R00.png,TCC2_20151101_0000,-3.062869292,90.48577613,2364,38993.79963,196.6924233,82.20380094,139.4481121,0.908478913,1478.792008,393.3848465,164.4076019,-59.8538854,214.2783661,195.6560364,220.9677887,215.3483124,5.043624878,13.85824659,16.65159454,SIO
01-11-2015 03:00,3DIMG_01NOV2015_0300_L1C_ASIA_MER_V01R00.png,TCC7_20151101_0130,3.692697912,68.64347557,2559,42210.29325,290.4163987,64.01769756,177.2170481,0.975401854,2147.793411,580.8327973,128.0353951,-38.37981569,209.8437805,187.5328827,217.8807831,210.894104,5.739793301,14.52343276,17.8700676,NIO
01-11-2015 03:00,3DIMG_01NOV2015_0300_L1C_ASIA_MER_V01R00.png,TCC8_20151101_0300,7.960445093,72.71768707,2675,44123.69458,198.246133,113.6736525,155.9598927,0.819277959,1729.017783,396.4922659,227.3473049,20.43151611,205.5573578,182.8126068,217.8807831,206.6983337,7.262599468,15.1663974,18.57810898,NIO
01-11-2015 03:00,3DIMG_01NOV2015_0300_L1C_ASIA_MER_V01R00.png,TCC3_20151101_0000,13.92171358,56.26994434,14719,242787.5367,326.8968059,253.8681254,290.3824656,0.629993752,3998.858136,653.7936118,507.7362507,3.716114998,204.4686584,180.7275085,217.8807831,205.0189819,7.755992413,15.32970023,18.89087372,NIO
01-11-2015 03:00,3DIMG_01NOV2015_0300_L1C_ASIA_MER_V01R00.png,TCC4_20151101_0000,16.26703657,83.95949289,7665,126432.9417,248.2726669,199.1021138,223.6873904,0.597391979,2283.756568,496.5453339,398.2042276,45.67082399,201.6305237,182.8126068,217.8807831,201.4537811,8.865909576,15.75542198,18.57810898,NIO
01-11-2015 03:00,3DIMG_01NOV2015_0300_L1C_ASIA_MER_V01R00.png,TCC5_20151101_0000,20.69282181,91.80612245,8604,141921.5956,243.0646062,216.5947862,229.8296962,0.453807678,2687.555206,486.1292124,433.1895724,12.97231782,205.9421539,187.5328827,217.8807831,205.5858459,5.570094585,15.10867898,17.8700676,NIO
01-11-2015 03:30,3DIMG_01NOV2015_0330_L1C_ASIA_MER_V01R00.png,TCC6_20151101_0030,25.30078526,96.71026592,2159,35612.35761,351.0383019,66.7468817,208.8925918,0.981756733,2536.247452,702.0766037,133.4937634,75.3683028,213.8567657,203.7962952,217.8252869,214.2221375,2.778237581,13.9214842,15.43055573,NIO
01-11-2015 03:30,3DIMG_01NOV2015_0330_L1C_ASIA_MER_V01R00.png,TCC4_20151101_0000,16.37631391,84.07266543,7834,129220.5695,231.7158033,200.9456898,216.3307466,0.497946882,2163.163387,463.4316067,401.8913796,47.51762613,202.6201477,183.7108154,217.8252869,202.0003815,8.090991974,15.60697872,18.44337769,NIO
01-11-2015 03:30,3DIMG_01NOV2015_0330_L1C_ASIA_MER_V01R00.png,TCC5_20151101_0000,20.69282181,92.03246753,8848,145946.3363,248.5442859,222.2741135,235.4091997,0.447460179,2908.101805,497.0885717,444.5482269,17.16397617,208.1330719,189.1723175,217.8252869,208.2547455,5.494960308,14.78003883,17.62415237,NIO
01-11-2015 03:30,3DIMG_01NOV2015_0330_L1C_ASIA_MER_V01R00.png,TCC8_20151101_0300,7.734754287,72.45361781,2852,47043.2811,214.3365034,112.8460226,163.591263,0.850181331,2015.130761,428.6730067,225.6920452,29.98009279,205.6221466,185.6260376,217.8252869,204.9535675,7.158283234,15.15667742,18.15609436,NIO
01-11-2015 03:30,3DIMG_01NOV2015_0330_L1C_ASIA_MER_V01R00.png,TCC7_20151101_0130,3.579003783,68.64347557,2383,39307.20157,302.3943034,58.79425699,180.5942802,0.980916571,1887.936568,604.7886067,117.588514,-38.54458647,210.4250946,194.6647186,217.8252869,210.833847,4.952009678,14.4362352,16.80029221,NIO
01-11-2015 03:30,3DIMG_01NOV2015_0330_L1C_ASIA_MER_V01R00.png,TCC3_20151101_0000,13.95855631,56.26994434,13516,222944.2452,331.2427733,234.9031508,283.072962,0.705050542,4341.350165,662.4855466,469.8063015,10.53199708,204.7643738,181.6829987,217.8252869,204.9535675,7.797409534,15.28534383,18.7475502,NIO
01-11-2015 04:00,3DIMG_01NOV2015_0400_L1C_ASIA_MER_V01R00.png,TCC8_20151101_0300,7.395989665,72.22727273,2723,44915.44686,196.4307983,106.5191097,151.474954,0.840202381,1606.282029,392.8615966,213.0382194,48.6150321,205.0763397,184.6815491,217.8252869,204.3787537,5.828514576,15.23855077,18.29776764,NIO
01-11-2015 04:00,3DIMG_01NOV2015_0400_L1C_ASIA_MER_V01R00.png,TCC3_20151101_0000,14.03222387,56.11904762,12299,202870.0261,302.4623492,229.6727928,266.067571,0.65069008,3174.978024,604.9246983,459.3455855,28.85730484,204.296402,186.5459137,217.8252869,204.3787537,7.21470499,15.35554102,18.01811295,NIO
01-11-2015 04:00,3DIMG_01NOV2015_0400_L1C_ASIA_MER_V01R00.png,TCC4_20151101_0000,16.41272594,84.18583797,7981,131645.3108,230.3553693,200.6306157,215.4929925,0.49135159,1914.661821,460.7107385,401.2612315,49.82948442,203.5426636,186.5459137,217.8252869,202.6073761,7.266773224,15.46860004,18.01811295,NIO
